дата;вопрос;категория;время_ответа;оценка;дефект
27.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,2;вода;Повтор без улучшения
27.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,2;правильный;
27.07.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;3,6;правильный;
27.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;13,5;правильный;
27.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,8;правильный;
27.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;3,1;правильный;
27.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,6;правильный;
28.07.2026;Как выставить ЭСФ?;НДС и пороги;5,6;правильный;
28.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,9;вода;Повтор без улучшения
28.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,2;правильный;
28.07.2026;Что будет за просрочку сдачи 910?;Прочее;4,6;правильный;
28.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,9;вода;Повтор без улучшения
28.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,8;правильный;
28.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,1;правильный;
28.07.2026;Как оплатить налоги через приложение?;Прочее;3,7;правильный;
28.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,4;правильный;
28.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,1;правильный;
28.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,0;правильный;
28.07.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;4,5;правильный;
28.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,3;правильный;
28.07.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;5,7;вода;Вода / нет прямого ответа
28.07.2026;Как оплатить налоги через приложение?;Прочее;3,6;правильный;
28.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,0;правильный;
28.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;6,1;правильный;
28.07.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;5,0;правильный;
28.07.2026;Как оплатить налоги через приложение?;Прочее;9,0;частично верный;Нет цифр
28.07.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;3,6;правильный;
28.07.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;5,7;правильный;
28.07.2026;Как оплатить налоги через приложение?;Прочее;6,2;частично верный;Нет цифр
28.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);3,0;правильный;
28.07.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;5,2;правильный;
28.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,3;правильный;
28.07.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;3,4;правильный;
28.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,6;правильный;
29.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,0;правильный;
29.07.2026;Что будет за просрочку сдачи 910?;Прочее;3,8;частично верный;Нет цифр
29.07.2026;Какая ставка НДС в 2026 году?;НДС и пороги;6,2;правильный;
29.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;3,4;правильный;
29.07.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);6,1;частично верный;Нет цифр
29.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);3,2;правильный;
29.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,0;правильный;
29.07.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;5,1;правильный;
29.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;4,1;частично верный;Пробел в базе знаний
29.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);5,6;правильный;
29.07.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;3,0;правильный;
29.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;5,1;правильный;
29.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,6;правильный;
29.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);5,4;правильный;
29.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);5,1;вода;Повтор без улучшения
29.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);5,0;правильный;
29.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;10,9;частично верный;Нет цифр
29.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,9;вода;Вода / нет прямого ответа
29.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,3;правильный;
29.07.2026;Как оплатить налоги через приложение?;Прочее;6,7;вода;Вне тематики
30.07.2026;Как оплатить налоги через приложение?;Прочее;6,3;правильный;
30.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);5,9;частично верный;Нет цифр
30.07.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;10,2;правильный;
30.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,7;правильный;
30.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;4,2;частично верный;Противоречие в ответе
30.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,3;правильный;
30.07.2026;Как выставить ЭСФ?;НДС и пороги;4,2;правильный;
30.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,7;правильный;
30.07.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,5;правильный;
30.07.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;3,2;правильный;
30.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;8,6;правильный;
30.07.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;11,8;правильный;
30.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,0;правильный;
30.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;6,8;правильный;
30.07.2026;Какая ставка НДС в 2026 году?;НДС и пороги;6,6;частично верный;Пробел в базе знаний
30.07.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;3,1;правильный;
30.07.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;5,1;правильный;
31.07.2026;Какая ставка НДС в 2026 году?;НДС и пороги;4,0;правильный;
31.07.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;6,7;правильный;
31.07.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,0;вода;Повтор без улучшения
31.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,2;правильный;
31.07.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;3,0;правильный;
31.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;4,2;правильный;
31.07.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,2;правильный;
31.07.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;3,7;вода;Повтор без улучшения
31.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);5,3;частично верный;Нет цифр
31.07.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;4,3;вода;Вне тематики
31.07.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);5,9;правильный;
31.07.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);3,8;частично верный;Пробел в базе знаний
31.07.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;5,9;правильный;
31.07.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;4,7;правильный;
31.07.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,2;правильный;
31.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,6;ошибка;Устаревшая ставка (ИПН)
31.07.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;5,0;правильный;
31.07.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;8,7;правильный;
31.07.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,9;правильный;
31.07.2026;Что будет за просрочку сдачи 910?;Прочее;6,1;правильный;
31.07.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);6,4;правильный;
31.07.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,9;правильный;
31.07.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;5,9;частично верный;Пробел в базе знаний
31.07.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;7,0;правильный;
01.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;4,6;правильный;
01.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,7;вода;Вода / нет прямого ответа
01.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,6;частично верный;Нет цифр
01.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;7,0;правильный;
01.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);4,6;правильный;
01.08.2026;Как выставить ЭСФ?;НДС и пороги;5,4;правильный;
01.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;7,7;правильный;
01.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,8;правильный;
01.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;3,5;правильный;
01.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;4,5;правильный;
01.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,3;правильный;
01.08.2026;Как выставить ЭСФ?;НДС и пороги;6,5;правильный;
01.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,5;правильный;
01.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;5,3;ошибка;Противоречие в ответе
01.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);7,0;частично верный;Нет цифр
01.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;6,2;частично верный;Нет цифр
01.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;6,1;частично верный;Нет цифр
01.08.2026;Как оплатить налоги через приложение?;Прочее;10,3;правильный;
01.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;4,7;правильный;
01.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);11,9;ошибка;Ошибка в цифрах
01.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,1;правильный;
01.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);4,0;правильный;
01.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;4,9;правильный;
01.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);7,0;правильный;
01.08.2026;Что будет за просрочку сдачи 910?;Прочее;5,3;правильный;
01.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,9;правильный;
01.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;3,9;правильный;
01.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;3,5;правильный;
02.08.2026;Как оплатить налоги через приложение?;Прочее;3,3;правильный;
02.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,9;правильный;
02.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;14,2;правильный;
02.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,0;правильный;
02.08.2026;Что будет за просрочку сдачи 910?;Прочее;4,3;правильный;
02.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;7,0;ошибка;Устаревшая ставка (ИПН)
02.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,4;правильный;
02.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;5,2;правильный;
02.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;6,0;частично верный;Противоречие в ответе
02.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;4,7;правильный;
02.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;5,0;ошибка;Ошибка в цифрах
02.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;5,1;правильный;
02.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;3,8;правильный;
02.08.2026;Платит ли ИП СО за себя?;Соцплатежи (ОПВ, ВОСМС, СО);4,7;правильный;
02.08.2026;Какая ставка НДС в 2026 году?;НДС и пороги;3,8;правильный;
02.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;5,0;правильный;
02.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;4,6;ошибка;Противоречие в ответе
02.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;3,5;правильный;
02.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);6,0;правильный;
02.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;3,2;правильный;
02.08.2026;Как убрать ВОСМС из 910 при найме сотрудника?;Соцплатежи (ОПВ, ВОСМС, СО);4,4;правильный;
02.08.2026;Ставка ОПВ за работника в 2026?;Соцплатежи (ОПВ, ВОСМС, СО);4,7;правильный;
02.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;5,0;ошибка;Устаревшая ставка (ИПН)
02.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;6,5;правильный;
02.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,4;правильный;
03.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;3,0;правильный;
03.08.2026;Когда нужно вставать на учёт по НДС?;НДС и пороги;4,1;правильный;
03.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;5,0;правильный;
03.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;5,9;правильный;
03.08.2026;Сколько налогов платить за сотрудника с зарплатой 300 000 тг?;ИПН и зарплата;4,0;частично верный;Противоречие в ответе
03.08.2026;Какой порог прогрессии ИПН в 2026 году?;ИПН и зарплата;5,9;правильный;
03.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;4,2;частично верный;Противоречие в ответе
03.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;6,0;вода;Вода / нет прямого ответа
03.08.2026;Что будет за просрочку сдачи 910?;Прочее;5,2;правильный;
03.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;3,4;частично верный;Противоречие в ответе
03.08.2026;Как заполнить форму 910 за полугодие?;Форма 910 и СНР;3,1;правильный;
03.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;3,9;частично верный;Нет цифр
03.08.2026;Как рассчитать ИПН с дивидендов?;ИПН и зарплата;3,0;ошибка;Противоречие в ответе
03.08.2026;Что будет за просрочку сдачи 910?;Прочее;6,0;правильный;
03.08.2026;Как оформить сотрудника на полставки?;Сотрудники и кадры;6,2;правильный;
03.08.2026;Нужно ли платить СО за директора-учредителя?;Сотрудники и кадры;5,9;правильный;
03.08.2026;Можно ли сдать 910 с нулевым доходом?;Форма 910 и СНР;14,3;вода;Вне тематики
03.08.2026;Какой лимит дохода на упрощёнке в 2026 году?;Форма 910 и СНР;6,0;правильный;
